,sharePrice_change,percentYearIncrease,percentYearIncrease_change,market_cap,market_cap_change,analystRecommend,analystRecommend_change,totalSentiment,totalSentiment_change,cnnP/S,cnnP/S_change,popularity,popularity_change,relevance,relevance_change,ytdPercent,ytdPercent_change,yahooOutlookLevel,yahooOutlookLevel_change,fair_value,fair_value_change,guruRating,guruRating_change,sector,industry,sectorSuccess,sectorSuccess_change,5-Year EBITDA Growth Rate,5-Year EBITDA Growth Rate_change,Altman Z-Score,Altman Z-Score_change,Beneish M-Score,Beneish M-Score_change,Book Value per Share,Book Value per Share_change,Cash per Share,Cash per Share_change,Dividends per Share,Dividends per Share_change,E10,E10_change,Earnings per Share (Diluted),Earnings per Share (Diluted)_change,EBIT per Share,EBIT per Share_change,EBITDA per Share,EBITDA per Share_change,EPS without NRI,EPS without NRI_change,FFO per Share,FFO per Share_change,Financial Strength,Financial Strength_change,Float Percentage Of Total Shares Outstanding,Float Percentage Of Total Shares Outstanding_change,Free Cash Flow per Share,Free Cash Flow per Share_change,Insider Ownership,Insider Ownership_change,Institutional Ownership,Institutional Ownership_change,Net Cash per Share,Net Cash per Share_change,Net Current Asset Value,Net Current Asset Value_change,Net-Net Working Capital,Net-Net Working Capital_change,Owner Earnings per Share (TTM),Owner Earnings per Share (TTM)_change,Piotroski F-Score,Piotroski F-Score_change,Predictability Rank_change,Profitability Rank,Profitability Rank_change,Quality Rank_change,Revenue per Share,Revenue per Share_change,Scaled Net Operating Assets,Scaled Net Operating Assets_change,Short Interest_change,Short Percentage of Float_change,Tangible Book per Share,Tangible Book per Share_change,Total Debt per Share,Total Debt per Share_change,Valuation Rank_change,YoY EBITDA Growth,YoY EBITDA Growth_change,YoY EPS Growth,YoY EPS Growth_change,YoY Rev. per Sh. Growth,YoY Rev. per Sh. Growth_change,Asset Turnover_change,Buyback Yield %,Buyback Yield %_change,Cash Conversion Cycle,Cash Conversion Cycle_change,COGS-to-Revenue_change,Current Ratio,Current Ratio_change,Days Inventory,Days Inventory_change,Days Payable,Days Payable_change,Days Sales Outstanding,Days Sales Outstanding_change,Debt-to-Asset,Debt-to-Asset_change,Debt-to-EBITDA,Debt-to-EBITDA_change,Debt-to-Equity,Debt-to-Equity_change,Debt-to-Revenue,Debt-to-Revenue_change,Earnings Yield %,Earnings Yield %_change,Earnings Yield (Joel Greenblatt) %,Earnings Yield (Joel Greenblatt) %_change,Effective Interest Rate on Debt %,Effective Interest Rate on Debt %_change,Equity-to-Asset,Equity-to-Asset_change,EV-to-EBIT,EV-to-EBIT_change,EV-to-EBITDA,EV-to-EBITDA_change,EV-to-Revenue,EV-to-Revenue_change,Forward PE Ratio,Forward PE Ratio_change,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_change,Goodwill-to-Asset,Goodwill-to-Asset_change,Gross-Profit-to-Asset %,Gross-Profit-to-Asset %_change,Inventory Turnover,Inventory Turnover_change,Inventory-to-Revenue,Inventory-to-Revenue_change,LT-Debt-to-Total-Asset,LT-Debt-to-Total-Asset_change,PB Ratio,PB Ratio_change,PE Ratio,PE Ratio_change,PE Ratio without NRI,PE Ratio without NRI_change,PEG Ratio,PEG Ratio_change,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_change,Price-to-Funds-From-Operations,Price-to-Funds-From-Operations_change,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_change,Price-to-Owner-Earnings,Price-to-Owner-Earnings_change,Price-to-Tangible-Book,Price-to-Tangible-Book_change,PS Ratio,PS Ratio_change,Quick Ratio,Quick Ratio_change,Return-on-Tangible-Asset,Return-on-Tangible-Asset_change,ROA %,ROA %_change,ROC %,ROC %_change,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_change,ROCE %,ROCE %_change,ROE %,ROE %_change,ROE % Adjusted to Book Value,ROE % Adjusted to Book Value_change,ROIC %,ROIC %_change,Shares Buyback Ratio %,Shares Buyback Ratio %_change,Shiller PE Ratio,Shiller PE Ratio_change,Short Ratio_change,Sloan Ratio %,Sloan Ratio %_change,WACC %,WACC %_change,FCF Margin %,FCF Margin %_change,Gross Margin %,Gross Margin %_change,Net Interest Margin (Bank Only) %,Net Interest Margin (Bank Only) %_change,Net Margin %,Net Margin %_change,Operating Margin %,Operating Margin %_change,s&p_change
VRNT,0.01650589496248667,0.6476175639,0.004915841573895679,3038000000,0.0,13.22875656,0.0,0.10435010859999999,0.4557308665543057,3.78,0.25999999999999995,3.677818903,0.0,119,0.0,38.74,0.0755136035535813,-1,-0.0,-1,-0.0,1.0,0.0,0,25,6,0.0,2.2,0.0,1.5,0.00671140939597316,-2.83,-0.0,19.34,0.0,10.87,0.0,0.0,0.0,0.43,0.0,-0.23,-0.0,0.85,0.0,2.38,0.0,-0.23,-0.0,0.0,0.0,5,0.0,87.93,0.0,3.27,0.0,2.22,0.0,94.72,0.0,-16.32,-0.0,-10.81,-0.0,-14.87,-0.0,1.33,0.0,5.0,0.0,0,5,-0.16666666666666666,0,19.42,0.0,0.53,0.0,0,0,-5.51,-0.0,13.22,0.0,0,-65.72,-0.0,-585.71,-0.0,4.94,0.0,0.0,1.17,-0.016806722689075647,53.57,0.0,0.0,1.1,0.0,17.05,0.0,58.59,0.0,95.11,0.0,0.27,0.0,12.4,0.0,0.59,0.0,0.62,0.0,0.0,0.0,1.98,0.0,4.28,0.0,0.45,0.0,62.42,0.012818432581534952,22.4,0.012658227848101156,2.75,0.01102941176470581,21.99,0.015235457063711832,13.18,0.0,0.46,0.0,29.71,0.0,5.35,0.0,0.06,0.0,0.15,0.0,2.47,0.01646090534979425,0.0,0.0,0.0,0.0,0.0,0.0,14.61,0.01458333333333327,0.0,0.0,12.28,0.014037985136251027,35.86,0.01442715700141437,0.0,0.0,2.46,0.016528925619834725,1.08,0.0,-5.1,-0.0,-2.5,-0.0,3.27,0.0,-19.13,-0.0,-1.8,-0.0,-6.13,-0.0,-3.16,-0.0,3.27,0.0,-1.6,-0.0,110.91,0.014266117969821695,0,-6.86,-0.0,5.82,-0.006825938566552906,24.36,0.0,67.93,0.0,0.0,0.0,-5.71,-0.0,6.44,0.0,0.016130646275355952
NBR,-0.028440623504154064,-17.76038059,0.02949061648367477,656328000,0.05438620729540511,-3.464101615,-0.0,0.08107403456000001,-0.00972694058210787,0.19,0.0,1.355339707,-0.4498703013773289,3719,0.002425876010781671,42.14,-0.11507769844603102,-3,-0.0,-1,-0.0,1.0,0.0,2,69,17,0.0,0.0,0.0,0.07,-0.12499999999999993,-5.75,-0.0,157.88,0.0,66.06,0.0,0.5,0.0,-72.74,-0.0,-118.73,-0.0,-70.78,-0.0,50.17,0.0,-118.73,-0.0,0.0,0.0,2,0.0,79.44,0.0,21.85,0.0,5.21,0.0,0.0,0.0,-530.69,-0.0,-441.6,-0.0,-482.35,-0.0,-29.03,-0.0,3.0,0.0,0,2,0.0,0,302.38,0.0,0.64,0.0,0,0,157.88,0.0,408.2,0.0,0,1026.1,0.0,57.27,0.0,-38.16,-0.0,0.0,2.2,0.08910891089108919,62.43,0.0,0.0,2.2,0.0,30.67,0.0,41.32,0.0,73.08,0.0,0.54,0.0,3.89,0.0,2.59,0.0,1.68,0.0,0.0,0.0,-16.5,-0.0,6.11,0.0,0.21,0.0,-6.47,-0.016717325227963573,9.11,-0.018318965517241374,1.51,-0.019480519480519497,0.0,0.0,0.0,0.0,0.0,0.0,-2.79,-0.0,2.98,0.0,0.37,0.0,0.54,0.0,0.54,-0.08474576271186429,0.0,0.0,0.0,0.0,0.0,0.0,3.91,-0.08430913348946123,0.0,0.0,1.73,-0.07978723404255315,0.0,0.0,0.54,-0.08474576271186429,0.28,-0.09677419354838701,1.88,0.0,-7.65,-0.0,-7.65,-0.0,-13.27,-0.0,-1.61,-0.0,-1.33,-0.0,-37.19,-0.0,-100.51,-0.0,-13.27,-0.0,-0.34,-0.0,0.0,0.0,0,-17.99,-0.0,10.29,-0.022792022792022814,13.41,0.0,-8.92,-0.0,0.0,0.0,-24.41,-0.0,-22.67,-0.0,0.016130646275355952
ECOM,-0.04763811048839076,0.518062455,0.06714225748268064,699802000,0.0,7.348469228,0.0,0.08156851775,-0.20524450655205634,3.31,0.0,3.79515625,0.0,167,0.0,49.19,-0.17076871207012817,-1,-0.0,-1,-0.0,1.0,0.0,0,0,6,0.0,0.0,0.0,9.04,-0.04942166140904318,-2.72,-0.0,4.48,0.0,2.47,0.0,0.0,0.0,-0.54,-0.0,0.63,0.0,0.64,0.0,0.85,0.0,0.63,0.0,0.0,0.0,8,-0.1111111111111111,97.3,0.0,0.98,0.0,8.73,0.0,99.01,0.0,0.72,0.0,2.05,0.0,1.36,0.0,0.71,0.0,9.0,0.0,0,3,0.0,0,4.84,0.0,0.37,0.0,0,0,3.27,0.0,0.19,0.0,0,18.34,0.0,5.26,0.0,20.02,0.0,0.0,0.0,0.0,48.9,0.0,0.0,2.56,0.0,0.0,0.0,3.75,0.0,52.65,0.0,0.03,0.0,0.16,0.0,0.04,0.0,0.03,0.0,2.56,0.04918032786885251,4.8,0.0,2.36,0.0,0.72,0.0,34.78,-0.05642973412913723,25.93,-0.05640465793304224,4.57,-0.05773195876288647,0.0,0.0,0.0,0.0,0.17,0.0,71.97,0.0,0.0,0.0,0.0,0.0,0.03,0.0,5.49,-0.04687499999999993,39.06,-0.04685212298682271,39.06,-0.04685212298682271,0.0,0.0,25.06,-0.04678585013313048,0.0,0.0,21.57,-0.046840477242598266,34.66,-0.04701677206488867,7.52,-0.04689480354879596,5.09,-0.04681647940074907,2.56,0.0,17.33,0.0,13.87,0.0,24.93,0.0,148.41,0.0,19.37,0.0,19.53,0.0,5.49,0.0,24.93,0.0,-3.36,-0.0,0.0,0.0,0,-1.26,-0.0,7.32,-0.009472259810554723,17.08,0.0,78.8,0.0,0.0,0.0,15.18,0.0,16.03,0.0,0.016130646275355952
MAX,-0.025094835132769375,0.1263389734,0.06614077713325517,2204000000,0.024163568773234202,7.348469228,0.0,0.07112663164,-0.14376190485083853,2.23,0.0,1.696749639,-0.14501073431126082,43,0.0,-15.84,0.546875,-1,-0.75,-1,-0.0,0.0,0.0,0,25,6,0.0,0.0,0.0,3.55,-0.011142061281337058,0.0,0.0,-0.57,-0.0,0.4,0.0,0.0,0.0,0.0,0.0,-0.2,-0.0,0.12,0.0,0.18,0.0,0.24,0.0,0.0,0.0,4,0.0,20.98,0.0,0.38,0.0,0.68,0.0,16.26,0.0,-3.74,-0.0,-1.97,-0.0,-2.52,-0.0,0.0,0.0,0.0,0.0,0,3,0.0,0,7.96,0.0,0.4,0.0,0,0,-1.15,-0.0,3.1,0.0,0,-194.21,-0.0,-461.75,-0.0,71.66,0.0,0.0,0.0,0.0,-6.34,-0.0,0.0,1.19,0.0,0.0,0.0,44.57,0.0,38.23,0.0,0.87,0.0,-4.32,-0.0,-5.41,-0.0,0.24,0.0,0.0,0.0,-0.21,-0.0,6.38,0.0,-0.16,-0.0,298.03,-0.009965784141115505,209.1,-0.009943181818181792,4.55,-0.008714596949891075,309.53,-0.017988578680203097,0.0,0.0,0.09,0.0,61.51,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,145.5,-0.010338729424568155,0.0,0.0,89.53,-0.010390184591577293,0.0,0.0,87.93,-0.010354530106921639,0.0,0.0,0.0,0.0,4.32,-0.011441647597253964,1.19,0.0,-81.83,-0.0,-65.49,-0.0,-55.63,-0.0,-6256.19,-0.0,-58.66,-0.0,0.0,0.0,0.0,0.0,-55.63,-0.0,-0.33,-0.0,0.0,0.0,0,0.0,0.0,7.47,-0.009283819628647253,6.29,0.0,13.91,0.0,0.0,0.0,-14.81,-0.0,-5.86,-0.0,0.016130646275355952
SJM,0.01932367149758462,1.48093889,-0.020684460565749893,14346000000,0.015358482553613136,4.123105626,0.0,0.08866843465,-0.18293961952188822,1.67,0.0,3.542673611,0.014315680641479733,223,0.0045045045045045045,15.01,0.21933387489845646,3,3.0,-1,-0.0,3.5,0.0,11,87,3,-0.4,7.3,0.0,2.06,0.01980198019801982,-2.42,-0.0,74.79,0.0,4.57,0.0,3.56,0.0,6.34,0.0,8.4,0.0,12.87,0.0,16.86,0.0,8.4,0.0,0.0,0.0,5,0.0,84.53,0.0,11.37,0.0,2.09,0.0,94.74,0.0,-70.28,-0.0,-55.92,-0.0,-62.06,-0.0,13.47,0.0,9.0,0.0,0,8,0.0,0,72.19,0.0,0.75,0.0,0,0,-35.57,-0.0,45.51,0.0,0,30.47,0.0,41.46,0.0,6.51,0.0,0.0,3.48,-0.03601108033240994,30.93,0.0,0.0,0.82,0.0,68.1,0.0,63.14,0.0,25.97,0.0,0.3,0.0,2.42,0.0,0.61,0.0,0.6,0.0,6.28,-0.03533026113671268,8.44,0.0,3.38,0.0,0.5,0.0,13.02,0.026813880126182955,9.94,0.026859504132231385,2.32,0.02654867256637171,16.06,0.03279742765273299,12.17,0.0,0.37,0.0,19.41,0.0,1.34,0.0,0.46,0.0,0.25,0.0,1.79,0.03468208092485552,15.91,0.03513337670787254,15.91,0.03513337670787254,2.18,0.038095238095238126,11.75,0.03524229074889871,0.0,0.0,9.68,0.03529411764705883,9.92,0.035490605427974935,0.0,0.0,1.85,0.033519553072625725,0.47,0.0,24.27,0.0,6.27,0.0,7.34,0.0,73.32,0.0,11.52,0.0,12.45,0.0,7.98,0.0,7.34,0.0,3.73,0.0,21.08,0.035363457760314285,0,-5.67,-0.0,2.93,-0.01346801346801348,20.06,0.0,38.98,0.0,0.0,0.0,12.59,0.0,19.64,0.0,0.016130646275355952
FRPT,-0.00904021132961545,0.0562887253,0.00851919234056395,7418000000,0.02190384350461496,11.61895004,0.0,0.1041298972,0.017161299029005785,17.71,0.0,1.175343282,0.784655240096821,256,0.00392156862745098,20.4,-0.04895104895104899,2,0.0,-1,-0.0,0.0,0.0,11,87,3,-0.4,27.5,0.0,113.29,0.041842928085341284,-1.65,-0.0,9.68,0.0,1.65,0.0,0.0,0.0,0.0,0.0,-0.09,-0.0,-0.06,-0.0,0.47,0.0,-0.09,-0.0,0.0,0.0,7,-0.125,95.73,0.0,-2.84,-0.0,2.06,0.0,99.88,0.0,0.66,0.0,1.69,0.0,1.24,0.0,-0.92,-0.0,4.0,0.0,0,3,0.0,0,7.9,0.0,0.79,0.0,0,0,9.68,0.0,0.21,0.0,0,-70.31,-0.0,-166.67,-0.0,14.11,0.0,0.0,-3.34,-0.02052785923753674,29.62,0.0,0.0,3.29,0.0,30.96,0.0,22.98,0.0,21.64,0.0,0.02,0.0,0.68,0.0,0.02,0.0,0.03,0.0,0.0,0.0,-0.03,-0.0,9.94,0.0,0.91,0.0,-3933.67,0.042225048353337014,391.26,0.04222050558056516,23.58,0.041979673000441864,319.17,0.032946050033981704,19.31,0.0,0.0,0.0,28.39,0.0,2.95,0.0,0.22,0.0,0.02,0.0,18.2,0.04597701149425292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.23,0.04614414035509362,0.0,0.0,18.2,0.04597701149425292,22.32,0.04641350210970474,2.72,0.0,-3.07,-0.0,-3.07,-0.0,-3.77,-0.0,-4.33,-0.0,-3.07,-0.0,-3.35,-0.0,-0.23,-0.0,-3.77,-0.0,-12.64,-0.0,0.0,0.0,0,31.79,0.0,5.83,-0.01018675721561963,-31.37,-0.0,36.12,0.0,0.0,0.0,-3.9,-0.0,-3.67,-0.0,0.016130646275355952
AON,-0.015378829035897774,1.046754714,0.01796914247219944,52797000000,0.0,12.36931688,0.0,0.07987488987000001,-0.10829116625205944,4.45,0.0,2.219887158,0.0,73,-0.013513513513513514,11.21,-0.1533232628398791,3,0.0,0,0.0,3.5,0.0,6,125,18,0.0,14.7,0.0,1.84,-0.01075268817204302,-2.6,-0.0,15.5,0.0,5.29,0.0,1.78,0.0,5.14,0.0,8.44,0.0,12.0,0.0,13.77,0.0,8.44,0.0,0.0,0.0,4,0.0,98.91,-0.0007072135785007818,11.35,0.0,9.1,0.0,97.63,0.0,-121.63,-0.0,-44.06,-0.0,-111.42,-0.0,9.92,0.0,8.0,0.0,0,8,0.0,0,47.48,0.0,0.36,0.0,0,0,-25.77,-0.0,39.58,0.0,0,22.0,0.0,43.67,0.0,5.45,0.0,0.0,3.32,0.01840490797546014,-9.17,-0.0,0.0,1.07,0.0,0.0,0.0,101.13,0.0,91.96,0.0,0.28,0.0,2.82,0.0,2.55,0.0,0.75,0.0,3.59,0.016997167138810214,5.05,0.0,3.67,0.0,0.11,0.0,21.82,-0.013116236996833973,19.02,-0.012973533990659055,5.52,-0.012522361359570713,21.8,-0.01668921966621565,19.03,0.0,0.27,0.0,16.76,0.0,0.0,0.0,0.0,0.0,0.26,0.0,15.17,-0.017487046632124324,27.85,-0.01763668430335097,27.85,-0.01763668430335097,1.89,-0.020725388601036288,20.72,-0.01707779886148005,0.0,0.0,19.67,-0.017482517482517376,23.7,-0.017412935323383155,0.0,0.0,4.95,-0.01785714285714283,1.07,0.0,9.31,0.0,6.6,0.0,8.51,0.0,124.81,0.0,19.42,0.0,59.57,0.0,4.37,0.0,8.51,0.0,2.84,0.0,45.73,-0.017404383326171086,0,-0.42,-0.0,5.3,0.0,24.89,0.0,44.86,0.0,0.0,0.0,17.67,0.0,24.05,0.0,0.016130646275355952
CEIX,-0.056470588235294224,0.24730735829999997,-0.08722741437276067,343315000,0.006042437722159219,8.660254038,0.0,0.07350978746,-0.303902518230591,0.19,0.0,1.7188000280000002,-0.21112538740980766,197,0.0,21.91,-0.22194602272727273,0,-1.0,-1,-0.0,0.0,0.0,17,114,19,0.0,-7.4,-0.0,0.61,-0.01612903225806453,-3.13,-0.0,16.27,0.0,1.49,0.0,0.0,0.0,0.0,0.0,-0.39,-0.0,1.98,0.0,10.04,0.0,-0.39,-0.0,0.0,0.0,2,0.0,62.74,0.0,1.64,0.0,3.44,0.0,87.3,0.0,-56.39,-0.0,-49.28,-0.0,-52.96,-0.0,2.19,0.0,3.0,0.0,0,5,0.25,0,33.62,0.0,0.48,0.0,0,0,16.27,0.0,20.95,0.0,0,-7.42,-0.0,-9.26,-0.0,-18.54,-0.0,0.0,0.0,0.0,21.99,0.0,0.0,0.8,0.0,68.1,0.0,86.65,0.0,40.54,0.0,0.28,0.0,2.02,0.0,1.29,0.0,0.66,0.0,0.0,0.0,5.72,0.0,8.31,0.0,0.22,0.0,18.79,-0.02186361270171794,3.72,-0.02105263157894727,1.11,-0.017699115044247607,463.01,-0.042814024642355154,0.0,0.0,0.0,0.0,30.44,0.0,1.34,0.0,0.21,0.0,0.25,0.0,0.56,-0.06666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,5.58,-0.060606060606060656,0.0,0.0,1.86,-0.060606060606060545,4.19,-0.060538116591928155,0.56,-0.06666666666666654,0.27,-0.06896551724137918,0.64,0.0,2.06,0.0,2.06,0.0,-3.36,-0.0,6.34,0.0,6.23,0.0,10.69,0.0,24.3,0.0,-3.36,-0.0,-31.23,-0.0,0.0,0.0,0,-2.49,-0.0,12.86,-0.013046815042210278,17.45,0.0,71.89,0.0,0.0,0.0,4.87,0.0,-9.54,-0.0,0.016130646275355952
ANIK,-0.011397423191278514,-0.013062317390000001,-0.004433497008685182,584504000,0.0,7.071067812000001,0.0,0.08986949034,-0.05838082531704957,4.93,0.0,4.15501721,0.0,244,0.0,-9.57,-0.10477081384471462,0,0.0,-1,-0.0,1.0,0.0,10,26,5,-0.2857142857142857,0.0,0.0,5.24,0.009633911368015379,-1.34,-0.0,19.01,0.0,6.86,0.0,0.0,0.0,1.43,0.0,-1.69,-0.0,-1.02,-0.0,-0.07,-0.0,-1.69,-0.0,0.0,0.0,6,-0.14285714285714285,84.38,0.0,0.8,0.0,4.4,0.0,95.54,0.0,0.36,0.0,5.87,0.0,3.23,0.0,-2.33,-0.0,4.0,0.0,0,8,0.0,0,9.15,0.0,0.47,0.0,0,0,12.06,0.0,1.57,0.0,0,-141.76,-0.0,-492.86,-0.0,12.98,0.0,0.0,0.0,0.0,289.84,0.0,0.0,4.81,0.0,269.25,0.0,45.17,0.0,65.76,0.0,0.06,0.0,-2.19,-0.0,0.08,0.0,0.17,0.0,0.0,0.0,-2.53,-0.0,2.1,0.0,0.75,0.0,-35.86,0.01528878822197053,-516.76,0.015285472906597455,3.98,0.015306122448979605,217.49,3.7863116197183104,0.0,0.0,0.02,0.0,17.13,0.0,0.34,0.0,1.44,0.0,0.06,0.0,2.2,0.023255813953488497,0.0,0.0,0.0,0.0,0.0,0.0,51.98,0.02182032632199724,0.0,0.0,45.52,0.02177328843995524,0.0,0.0,3.46,0.02064896755162237,4.57,0.022371364653243967,3.56,0.0,-22.54,-0.0,-16.02,-0.0,-8.04,-0.0,-20.3,-0.0,-6.8,-0.0,-22.49,-0.0,-9.45,-0.0,-8.04,-0.0,-0.15,-0.0,29.22,0.021678321678321587,0,9.36,0.0,8.15,-0.007308160779537209,6.54,0.0,51.22,0.0,0.0,0.0,-47.9,-0.0,-18.56,-0.0,0.016130646275355952
CAAS,-0.083695652173913,0.28738317760000004,0.09112149562516536,146238000,0.0,1.0,0.0,0.07752846008,0.04381026486420193,0.46,1.0,1.096875,0.0,412,0.0,-32.21,0.3398502495840267,-3,-0.0,-1,-0.0,1.0,0.0,9,9,16,0.0,-22.2,-0.0,1.38,-0.0142857142857143,-2.81,-0.0,9.83,0.0,3.48,0.0,0.0,0.0,0.0,0.0,-0.05,-0.0,-0.34,-0.0,0.37,0.0,-0.05,-0.0,0.0,0.0,4,0.0,36.2,0.0,1.31,0.0,57.13,0.0,1.7,0.0,-9.63,-0.0,2.31,0.0,-4.34,-0.0,1.09,0.0,5.0,0.0,0,6,0.0,0,13.45,0.0,0.5,0.0,0,0,9.42,0.0,4.04,0.0,0,-78.15,-0.0,-100.0,-0.0,28.32,0.0,0.0,0.0,0.0,56.58,0.0,0.0,1.34,0.0,62.83,0.0,102.48,0.0,96.23,0.0,0.18,0.0,38.25,0.0,0.41,0.0,0.21,0.0,0.0,0.0,-4.63,-0.0,1.27,0.0,0.43,0.0,-15.93,-0.07383720930232555,14.39,-0.07340631036703148,0.4,-0.06976744186046505,13.5,-0.0890688259109312,-20.27,-0.0,0.0,0.0,13.26,0.0,1.45,0.0,0.58,0.0,0.0,0.0,0.44,-0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.28,-0.08635097493036213,0.0,0.0,2.33,-0.08627450980392147,3.94,-0.08796296296296303,0.46,-0.07999999999999996,0.32,-0.08571428571428563,1.09,0.0,-1.9,-0.0,-1.87,-0.0,-1.51,-0.0,-9.66,-0.0,-6.07,-0.0,-4.31,-0.0,-6.84,-0.0,-1.51,-0.0,1.03,0.0,0.0,0.0,0,-5.45,-0.0,11.89,-0.04190169218372277,-1.76,-0.0,15.55,0.0,0.0,0.0,-2.19,-0.0,-0.82,-0.0,0.016130646275355952
ASB,-0.019736842105263237,1.158187983,0.02348993329810126,3361000000,0.0,3.16227766,0.0,0.1012315872,0.2666912112113177,1.98,0.0,0.6908080808,-0.2446432515727954,175,0.005747126436781609,23.17,-0.07689243027888444,0,0.0,-1,-0.0,5.0,0.0,6,42,18,0.0,0.0,0.0,0.0,0.0,-2.37,-0.0,24.34,0.0,4.66,0.0,0.72,0.0,1.44,0.0,1.87,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,2,-0.3333333333333333,96.75,0.0,3.24,0.0,3.23,0.0,92.47,0.0,-166.27,-0.0,0.0,0.0,-168.13,-0.0,1.04,0.0,7.0,0.0,0,6,0.0,0,8.18,0.0,0.07,0.0,0,0,16.4,0.0,14.6,0.0,0,0.0,0.0,-6.98,-0.0,-6.02,-0.0,0.0,2.25,0.022727272727272645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.55,0.0,2.14,0.0,8.79,0.02567094515752612,0.0,0.0,4.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4.09,-0.014457831325301323,12.14,-0.025682182985553793,23.08,0.0,0.03,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.87,-0.03333333333333336,11.37,-0.02570694087403605,11.37,-0.02570694087403605,1.96,-0.024875621890547178,6.57,-0.025222551928783372,0.0,0.0,5.92,-0.024711696869851786,20.45,-0.02526215443279319,1.3,-0.02255639097744363,2.6,-0.026217228464419415,0.0,0.0,0.82,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,0.0,8.69,0.0,0.0,0.0,2.31,0.0,14.77,-0.025082508250825135,0,1.65,0.0,7.06,-0.0084269662921349,40.65,0.0,0.0,0.0,2.51,0.0,25.52,0.0,0.0,0.0,0.016130646275355952
LEAF,-0.012623490669593876,-0.3162452317,0.024719101141799368,323610000,0.0,5.196152423,0.0,0.05320133566000001,-0.41653488770772096,0.6,0.0,1.8966286490000002,0.0,170,0.005917159763313609,98.71,0.029194036075487408,3,0.0,-1,-0.0,1.0,0.0,0,37,6,0.0,0.0,0.0,-0.1,-0.1666666666666666,-3.38,-0.0,2.19,0.0,1.88,0.0,0.0,0.0,-2.45,-0.0,-0.33,-0.0,-0.32,-0.0,0.03,0.0,-0.33,-0.0,0.0,0.0,5,0.0,75.65,0.0,0.13,0.0,11.98,0.0,29.47,0.0,0.12,0.0,0.61,0.0,0.4,0.0,0.12,0.0,6.0,0.0,0,3,0.0,0,7.65,0.0,0.24,0.0,0,0,1.35,0.0,0.42,0.0,0,93.69,0.0,55.0,0.0,30.08,0.0,0.0,0.0,0.0,-4.51,-0.0,0.0,1.67,0.0,0.0,0.0,23.07,0.0,18.56,0.0,0.11,0.0,-18.35,-0.0,0.19,0.0,0.06,0.0,0.0,0.0,-7.35,-0.0,2.14,0.0,0.56,0.0,-32.96,0.005491153142159845,220.6,0.0052403736614263195,1.3,0.007751937984496131,12.33,0.005709624796084852,0.0,0.0,0.14,0.0,62.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,4.15,0.00484261501210665,0.0,0.0,0.0,0.0,0.0,0.0,68.5,0.004398826979472099,0.0,0.0,22.49,0.004017857142857136,75.92,0.0044985445885155255,6.74,0.004470938897168443,1.19,0.0,1.67,0.0,-11.42,-0.0,-8.63,-0.0,-13.13,-0.0,-40.66,-0.0,-13.64,-0.0,-17.02,-0.0,-8.03,-0.0,-13.13,-0.0,-35.81,-0.0,0.0,0.0,0,-15.75,-0.0,13.47,-0.0036982248520709272,3.52,0.0,29.57,0.0,0.0,0.0,-4.11,-0.0,-3.98,-0.0,0.016130646275355952
